,Group,Label,Sodium citrate (wt%),PEO 8 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,A,E2,2.373480132,29.69113889,0,0
1,A,E3,2.308596012,19.98576984,0,0
2,A,E4,2.372602648,9.854187291,0,0
3,A,E5,4.932783176,35.06721682,1,1
4,A,E6,5.012942903,10.23626981,0,0
5,A,E7,7.494500041,24.96534613,1,1
6,A,E8,7.406083474,30.08440075,1,1
7,A,E9,7.674131429,4.700463905,0,0
8,A,E10,10.10369881,19.88771466,1,1
9,A,E11,9.950719624,30.04928038,1,1
10,A,E12,10.21326537,2.380122058,0,0
11,A,F1,12.27473912,10.27493296,1,1
12,A,F3,12.7378155,19.627745,1,1
13,A,F4,14.96176693,9.876275803,1,1
14,A,F5,15.3465196,19.53482087,1,1
15,A,F2,20.11679024,9.986877501,1,1
16,A,F6,20.03369923,19.96630077,1,1
17,B,D2,2.530987605,34.94002399,1,1
18,B,D1,2.533076859,37.03604583,1,1
19,B,F1,4.918882531,29.90912151,1,1
20,B,A3,5.049249886,20.57348757,0,1
21,B,D4,5.135108318,24.9280635,1,1
22,B,D5,5.180779255,22.30368242,1,1
23,B,B6,7.246757511,12.24560827,0,0
24,B,B5,7.398102454,11.20050513,0,0
25,B,F2,7.468094004,14.77427448,1,1
26,B,A4,7.679688679,16.5945955,1,1
27,B,D7,7.700477606,19.21378711,1,1
28,B,D12,9.804337538,12.11116369,1,1
29,B,A7,9.865017795,12.34488527,1,1
30,B,B8,9.891342099,8.054246258,1,1
31,B,A8,9.894325111,11.45956251,1,1
32,B,A5,9.979039858,14.78075691,1,1
33,B,B9,9.993780781,9.968903905,1,1
34,B,E2,10.01968832,5.23175493,0,0
35,B,A9,10.06061831,7.670909948,1,1
36,B,A10,10.10745774,4.813429679,0,0
37,B,F3,10.27766834,7.049110125,1,1
38,B,A6,10.35719046,12.79155005,1,1
39,B,E4,12.37749425,5.242013392,1,1
40,B,A11,12.45472633,6.936229049,1,1
41,B,B1,12.47366741,3.069531473,1,1
42,B,B3,12.72386864,0.901378042,0,0
43,B,B2,12.77951406,3.656282555,1,1
44,B,E7,15.08411464,1.101801982,1,1
45,B,B4,15.12884842,0.874607473,1,1
46,B,E10,19.9845326,0.571306337,1,1
47,B,E9,20.01746207,1.031250515,1,1
